Hs:;Altura Significante de Oleaje/Waves Significant Height;metros/meters;;;
Tp:;Periodo de Pico/Peak Period;segundos/seconds;;;
Dir:;"Direccion media de procedencia/Mean Direction, ""coming from""";"0= Norte/North;90= Este/East";;;
;;;;;
Punto SIMAR / SIMAR Point2115138 1958 - 2020;;;;;
;;;;;
Mes/Month;Hs Max./Max. Hs;Tp;Dir;Dia/Day;Hora/Hour
Enero/January;6.97;12.11;78;20;18
Febrero/February;5.92;11.24;89;5;6
Marzo/March;5.09;10.10;102;21;19
Abril/April;4.35;9.26;115;18;12
Mayo/May;4.44;9.80;94;8;1
Junio/June;2.52;8.62;77;2;18
Julio/July;2.55;5.68;184;4;17
Agosto/August;1.66;6.49;96;29;22
Agosto/August;1.66;5.92;150;30;22
Agosto/August;1.66;6.49;96;29;23
Agosto/August;1.66;5.88;149;30;21
Septiembre/September;3.69;8.27;57;10;23
Octubre/October;5.18;10.10;120;11;17
Noviembre/November;4.54;10.64;82;8;12
Diciembre/Dececember;5.20;11.01;82;4;17
